Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Rh2CrSi,Rh,Cr,Si,l21,1.120609,-0.41656225,5.978570864,818.5963,192.002,11.5931,0.621844,0.388,0.388,2.917,0.002,3.695,28
Rh2CrSn,Rh,Cr,Sn,l21,1.362517,-0.26489275,6.281905531,840.4623,282.002,9.9459,0.789229,0.331,0.331,3.109,-0.034,3.737,28
Rh2CuAl,Rh,Cu,Al,l21,1.047609,-0.52089375,5.963025829,1.6102,0,9.5954,0.001963,0,0,0,0,0,22
Rh2CuAs,Rh,Cu,As,l21,1.091223,-0.19273525,6.023086065,0.7168,0,10.2857,0,0,0,0,0,0,24
Rh2CuB,Rh,Cu,B,l21,1.628945,0.1431845,5.677134072,0.6373,0,9.9743,0.003584,0.002,0.002,0.001,0,0.005,22
Rh2CuBi,Rh,Cu,Bi,l21,0.755479,0.01356275,6.357643739,59.0616,0,9.9356,0.40773,0.043,0.043,-0.002,0.003,0.087,24
Rh2CuGa,Rh,Cu,Ga,l21,0.992407,-0.379796,5.983837396,2.1836,0,8.2236,0.000224,0,0,0,0,0,22
Rh2CuGe,Rh,Cu,Ge,l21,1.390131,-0.36736,5.984219233,1.3572,0,9.5746,0.00027,0,0,0,0,0,23
Rh2CuIn,Rh,Cu,In,l21,0.59426,-0.1831505,6.21415056,4.9756,0,8.4312,0.000139,0,0,0,0,0,22
Rh2CuPb,Rh,Cu,Pb,l21,0.894503,-0.017844,6.300515168,0.922,0,8.8473,0.000241,0,0,0,0,0,23
Rh2CuSb,Rh,Cu,Sb,l21,1.032781,-0.26378875,6.209313949,137.3831,0,11.1824,0.55772,0.089,0.089,-0.003,0.006,0.181,24
Rh2CuSi,Rh,Cu,Si,l21,1.696853,-0.527694,5.884873559,2.8685,0,10.8867,0.000559,0,0,0,0,0,23
Rh2CuSn,Rh,Cu,Sn,l21,1.093781,-0.343531,6.201218991,0.5517,0,9.2306,0.000162,0,0,0,0,0,23
Rh2FeAl,Rh,Fe,Al,l21,1.475713,-0.58723175,5.997065949,523.1805,484.502,10.8755,0.812008,0.554,0.554,3.194,-0.003,4.299,29
Rh2FeAs,Rh,Fe,As,l21,0.377962,-0.05429025,6.079714004,1236.3313,0,10.6343,0.455754,0.344,0.344,3.036,0.009,3.733,31
Rh2FeB,Rh,Fe,B,l21,1.52641,0.091942,5.718950953,625.0387,0,11.2491,0.721026,0.596,0.596,3.049,0.015,4.256,29
Rh2FeBi,Rh,Fe,Bi,l21,0.355293,0.1603485,6.406554315,52.2716,0,10.333,0.468179,0.282,0.282,3.141,0.005,3.71,31
Rh2FeGa,Rh,Fe,Ga,l21,1.327463,-0.4380685,6.016654221,507.997,418.502,9.5203,0.90445,0.533,0.533,3.189,-0.014,4.241,29
Rh2FeGe,Rh,Fe,Ge,l21,0.890492,-0.26916425,6.028372395,87.0846,0,10.5297,0.776496,0.237,0.237,3.029,-0.005,3.498,30
Rh2FeIn,Rh,Fe,In,l21,1.108112,-0.2306735,6.242000667,610.9999,364.502,9.6531,0.872931,0.494,0.494,3.262,-0.029,4.221,29
Rh2FePb,Rh,Fe,Pb,l21,0.695576,0.08453325,6.341254418,1018.7238,0,9.7581,0.706759,0.196,0.196,3.129,-0.021,3.5,30
Rh2FeSb,Rh,Fe,Sb,l21,0.442354,-0.1164705,6.251461756,322.1598,0,11.6092,0.457448,0.112,0.112,3.03,-0.006,3.248,31
Rh2FeSi,Rh,Fe,Si,l21,1.077817,-0.42369525,5.931265421,459.4412,48.0015,11.8328,0.865102,0.255,0.255,2.988,-0.001,3.497,30
Rh2FeSn,Rh,Fe,Sn,l21,0.864178,-0.246332,6.242392404,528.398,456.002,10.1777,0.844741,0.209,0.209,3.109,-0.016,3.511,30
Rh2HfAl,Rh,Hf,Al,l21,2.406694,-1.006944,6.292044028,15.2997,0,9.4795,0.097977,0.027,0.027,0.001,0.001,0.056,25
Rh2HfAs,Rh,Hf,As,l21,0.717551,-0.55418775,6.366171446,3.1102,0,9.158,0.001248,0,0,0,0,0,27
Rh2HfB,Rh,Hf,B,l21,1.217731,-0.21866,6.045450438,11.8687,0,9.3788,0.3658,0.047,0.047,-0.001,0.011,0.104,25
Rh2HfBi,Rh,Hf,Bi,l21,1.264765,-0.40194675,6.639234872,3.9427,0,9.3775,0.000285,0,0,0,0,0,27
Rh2HfGa,Rh,Hf,Ga,l21,1.964745,-0.890916,6.294383138,44.8582,0,8.3748,0.241408,0.058,0.058,0.001,0.007,0.124,25
Rh2HfGe,Rh,Hf,Ge,l21,1.340238,-0.71113675,6.316388301,2.8919,0,9.109,0.007831,0.001,0.001,0,0,0.002,26
Rh2HfIn,Rh,Hf,In,l21,2.181899,-0.7738875,6.478652336,98.4013,0,8.7709,0.006368,0.09,0.09,0.005,0.011,0.196,25
Rh2HfPb,Rh,Hf,Pb,l21,1.587533,-0.46101075,6.572090841,5.3221,0,8.859,0,0,0,0,0,0,26
Rh2HfSb,Rh,Hf,Sb,l21,1.336234,-0.62440275,6.512051818,1.3258,0,10.365,0.000163,0,0,0,0,0,27
Rh2HfSi,Rh,Hf,Si,l21,1.548219,-0.79083425,6.243358312,5.1911,0,10.0886,0.010009,0.001,0.001,0,0,0.002,26
Rh2HfSn,Rh,Hf,Sn,l21,1.868821,-0.758475,6.490868313,6.54,0,9.1289,0.004809,0,0,0,0,0,26
Rh2IrAl,Rh,Ir,Al,xa,-0.176238,-0.23437175,6.122537805,916.7168,175.502,10.1701,0.057939,0.544,0.519,0.581,-0.004,1.64,30
Rh2IrAs,Rh,Ir,As,xa,-0.208213,0.17088925,6.174252767,31.9222,0,10.2051,0,0,0,0,0,0,32
Rh2IrB,Rh,Ir,B,xa,-0.454576,0.56001425,5.887192869,82.7008,0,10.2122,0.079996,0.091,0.264,0.214,-0.005,0.564,30
Rh2IrBi,Rh,Ir,Bi,l21,0.008295,0.34212775,6.453231848,22.0498,0,10.0679,0.396699,0.053,0.053,0.008,0.004,0.118,32
Rh2IrGa,Rh,Ir,Ga,xa,-0.136897,-0.076199,6.133554529,1046.8719,90.0015,8.9244,0.18416,0.331,0.427,0.432,-0.009,1.181,30
Rh2IrGe,Rh,Ir,Ge,xa,-0.246912,0.0250155,6.142195374,36.141,0,9.8449,0.000323,0,0,0,0,0,31
Rh2IrIn,Rh,Ir,In,l21,0.061169,0.0810985,6.326456087,401.9823,135.002,9.2666,0.538933,0.433,0.433,0.668,0.001,1.535,30
Rh2IrPb,Rh,Ir,Pb,l21,0.046589,0.3282915,6.40555588,22.1269,0,9.3291,0.005761,0.001,0.001,0.002,0,0.004,31
Rh2IrSb,Rh,Ir,Sb,xa,-0.15288,0.0890785,6.326532455,2.6198,0,11.1678,0.000223,0,0,0,0,0,32
Rh2IrSi,Rh,Ir,Si,xa,-0.395424,-0.100977,6.060063507,4.4177,0,11.0118,0.005839,0.001,0.003,0.003,0,0.007,31
Rh2IrSn,Rh,Ir,Sn,xa,-0.08447,0.01631875,6.320578615,177.3314,0,9.673,0.022771,0.017,0.025,0.026,-0.001,0.067,31
Rh2MnAl,Rh,Mn,Al,l21,2.176885,-0.7079635,6.020980301,1726.2992,132.002,10.1563,0.832556,0.338,0.338,3.418,-0.019,4.075,28
Rh2MnAs,Rh,Mn,As,l21,0.909306,-0.249698,6.128645793,132.2197,388.502,10.4265,0.288061,0.632,0.632,3.766,0.07,5.1,30
Rh2MnB,Rh,Mn,B,l21,1.921957,-0.02917525,5.739961924,1765.1151,0,10.6496,0.89994,0.36,0.36,3.235,-0.002,3.953,28
Rh2MnBi,Rh,Mn,Bi,l21,0.902389,-0.06584975,6.455337612,131.7899,298.502,10.1145,0.334198,0.557,0.557,3.919,0.033,5.066,30
Rh2MnGa,Rh,Mn,Ga,l21,2.078409,-0.56885625,6.039803483,1846.74,130.502,8.8227,0.92736,0.329,0.329,3.456,-0.049,4.065,28
Rh2MnGe,Rh,Mn,Ge,l21,1.438974,-0.463716,6.069446814,607.0691,333.002,10.2592,0.380197,0.456,0.456,3.696,-0.001,4.607,29
Rh2MnIn,Rh,Mn,In,l21,1.316547,-0.3783475,6.276029474,1132.7287,0,8.8716,0.792393,0.316,0.316,3.706,-0.072,4.266,28
Rh2MnPb,Rh,Mn,Pb,l21,1.198617,-0.13512225,6.38015519,0.6587,262.502,9.5072,0.402108,0.42,0.42,3.842,-0.032,4.65,29
Rh2MnSb,Rh,Mn,Sb,l21,1.061021,-0.32749525,6.297234192,69.4909,193.502,11.3764,0.664974,0.408,0.408,3.816,0.02,4.652,30
Rh2MnSi,Rh,Mn,Si,l21,1.930005,-0.604957,5.972998863,511.1331,361.502,11.549,0.459221,0.458,0.458,3.656,0.003,4.575,29
Rh2MnSn,Rh,Mn,Sn,l21,1.428524,-0.458238,6.280645467,252.7434,1135.5,9.9146,0.457078,0.434,0.434,3.801,-0.03,4.639,29
Rh2MoAl,Rh,Mo,Al,l21,0.47515,-0.29136975,6.161536158,29.548,0,11.3471,0.000114,0.002,0.002,0.002,0,0.006,27
Rh2MoAs,Rh,Mo,As,xa,-1.096642,-0.060966,6.170133162,17.0904,0,11.1929,0.000051,0,0,0,0,0,29
Rh2MoB,Rh,Mo,B,xa,-0.458536,0.376403,5.909062268,14.7006,0,10.795,0.000137,0,0,0,0,0,27
Rh2MoBi,Rh,Mo,Bi,xa,-0.379167,0.28097675,6.463408528,1.3672,0,11.0283,0.000215,0,0,0,0,0,29
Rh2MoGa,Rh,Mo,Ga,l21,0.228672,-0.14817775,6.17130696,2.9232,0,10.1253,0.008474,0.002,0.002,0.004,0,0.008,27
Rh2MoGe,Rh,Mo,Ge,xa,-0.602686,-0.1086325,6.158523883,14.4934,0,10.4945,0.000494,0,0,0,0,0,28
Rh2MoIn,Rh,Mo,In,l21,0.545965,0.00847475,6.357850214,5.0274,0,10.3838,0.001064,0.001,0.001,0.001,0,0.003,27
Rh2MoPb,Rh,Mo,Pb,xa,-0.034663,0.3055355,6.426781811,5.7895,0,10.0249,0.00155,0,0,0,0,0,28
Rh2MoSb,Rh,Mo,Sb,xa,-0.610059,-0.01259275,6.346516706,1.1001,0,11.9864,0,0,0,0,0,0,29
Rh2MoSi,Rh,Mo,Si,xa,-0.626651,-0.227318,6.080105741,2.3467,0,11.5684,0.001234,0,0,0,0,0,28
Rh2MoSn,Rh,Mo,Sn,xa,-0.108574,-0.00238725,6.346396498,0.7348,0,10.2974,0,0,0,0,0,0,28
Rh2NbAl,Rh,Nb,Al,l21,1.399167,-0.61670575,6.2433173,21.5939,0,9.5858,0.050994,0.036,0.036,0.029,0.001,0.102,26
Rh2NbAs,Rh,Nb,As,xa,-0.382784,-0.22505975,6.264639398,31.1345,0,9.0199,0.011093,0.001,0.004,0.001,0,0.006,28
Rh2NbB,Rh,Nb,B,l21,0.330065,0.16610475,6.011179801,498.4455,0,9.4204,0.329813,0.148,0.148,0.033,0.033,0.362,26
Rh2NbBi,Rh,Nb,Bi,l21,0.14293,0.04925375,6.583024126,2.9574,0,9.4459,0.002168,0.001,0.001,-0.001,0,0.001,28
Rh2NbGa,Rh,Nb,Ga,l21,1.052759,-0.49179125,6.249579438,45.4498,0,8.4377,0.145844,0.04,0.04,0.021,0.003,0.104,26
Rh2NbGe,Rh,Nb,Ge,l21,0.234254,-0.2978985,6.269608944,15.596,0,9.1667,0.000107,0,0,0,0,0,27
Rh2NbIn,Rh,Nb,In,l21,1.3472,-0.3640225,6.428436441,120.5292,0,8.8533,0.11217,0.099,0.099,0.048,0.008,0.254,26
Rh2NbPb,Rh,Nb,Pb,l21,0.592273,-0.028091,6.521131069,0.2038,0,8.8955,0,0,0,0,0,0,27
Rh2NbSb,Rh,Nb,Sb,l21,0.091211,-0.19103675,6.453835717,2.5946,0,10.4568,0.000096,0,0,0,0,0,28
Rh2NbSi,Rh,Nb,Si,l21,0.313833,-0.389272,6.195341519,1.4037,0,10.1718,0,0,0,0,0,0,27
Rh2NbSn,Rh,Nb,Sn,l21,0.75277,-0.33332925,6.441092238,10.4033,0,9.1716,0.001897,0,0,0,0,0,27
Rh2NiAl,Rh,Ni,Al,l21,0.839483,-0.486924,5.944242244,175.4621,271.502,10.062,0.650248,0.507,0.507,0.862,-0.012,1.864,31
Rh2NiAs,Rh,Ni,As,l21,0.769003,-0.138792,5.982826233,239.9702,0,10.4375,0.156295,0.011,0.011,0.072,-0.001,0.093,33
Rh2NiB,Rh,Ni,B,l21,1.405171,0.1366405,5.653727423,867.7448,79.5015,10.4605,0.246625,0.458,0.458,0.727,-0.021,1.622,31
Rh2NiBi,Rh,Ni,Bi,l21,0.421719,0.09425375,6.308571942,9.399,0,10.1123,0.00273,0,0,0,0,0,33
Rh2NiGa,Rh,Ni,Ga,l21,0.801782,-0.34875625,5.963327056,294.0223,279.002,8.702,0.801167,0.519,0.519,0.851,-0.029,1.86,31
Rh2NiGe,Rh,Ni,Ge,l21,0.915152,-0.2932245,5.962284781,131.7937,82.5015,9.8895,0.846973,0.245,0.245,0.569,-0.012,1.047,32
Rh2NiIn,Rh,Ni,In,l21,0.452077,-0.125825,6.193644463,83.0357,252.002,8.9052,0.846678,0.517,0.517,0.882,-0.037,1.879,31
Rh2NiPb,Rh,Ni,Pb,l21,0.465691,0.08610325,6.275227615,387.7089,57.0015,9.1264,0.83238,0.192,0.192,0.647,-0.011,1.02,32
Rh2NiSb,Rh,Ni,Sb,l21,0.632213,-0.2032185,6.170442875,2.1245,0,11.274,0.000432,0,0,0,0,0,33
Rh2NiSi,Rh,Ni,Si,l21,1.157899,-0.45801475,5.864381604,76.0721,76.5015,11.2079,0.792618,0.255,0.255,0.553,-0.008,1.055,32
Rh2NiSn,Rh,Ni,Sn,l21,0.622029,-0.24388325,6.179598494,236.0085,67.5015,9.5143,0.845053,0.21,0.21,0.632,-0.013,1.039,32
Rh2PdAl,Rh,Pd,Al,l21,0.171347,-0.37842275,6.126794588,1015.6327,97.5015,10.1073,0.258716,0.439,0.439,0.171,-0.012,1.037,31
Rh2PdAs,Rh,Pd,As,l21,0.466774,-0.08890875,6.163753645,1.8821,0,10.3763,0,0,0,0,0,0,33
Rh2PdB,Rh,Pd,B,l21,0.433854,0.43164425,5.883336309,1003.4996,0,10.2547,0.034225,0.285,0.285,0.098,-0.013,0.655,31
Rh2PdBi,Rh,Pd,Bi,l21,0.422567,-0.01318275,6.442370687,0.8102,0,10.2519,0.000292,0,0,0,0,0,33
Rh2PdGa,Rh,Pd,Ga,l21,0.199123,-0.2554175,6.13994536,1198.0464,127.502,8.8566,0.272802,0.489,0.489,0.214,-0.029,1.163,31
Rh2PdGe,Rh,Pd,Ge,l21,0.445234,-0.2133965,6.140849042,386.8748,0,9.8703,0.48105,0.16,0.16,0.059,-0.009,0.37,32
Rh2PdIn,Rh,Pd,In,l21,0.061183,-0.1408015,6.337007534,1040.5984,157.502,9.119,0.330236,0.595,0.595,0.297,-0.042,1.445,31
Rh2PdPb,Rh,Pd,Pb,l21,0.276213,0.0158905,6.41148992,676.6555,0,9.2862,0.613314,0.26,0.26,0.143,-0.018,0.645,32
Rh2PdSb,Rh,Pd,Sb,l21,0.52403,-0.24740175,6.319844639,0.517,0,11.2824,0.00096,0,0,0,0,0,33
Rh2PdSi,Rh,Pd,Si,l21,0.523169,-0.306634,6.05722518,456.0463,0,11.0484,0.198684,0.143,0.143,0.043,-0.006,0.323,32
Rh2PdSn,Rh,Pd,Sn,l21,0.323708,-0.26499625,6.32317794,299.2546,0,9.6542,0.483009,0.22,0.22,0.102,-0.017,0.525,32
Rh2PtAl,Rh,Pt,Al,l21,0.135488,-0.3797425,6.154397208,1817.5889,57.0015,10.623,0.337122,0.393,0.393,0.156,-0.009,0.933,31
Rh2PtAs,Rh,Pt,As,l21,0.392389,-0.00689275,6.210615026,4.6438,0,10.6453,0.001234,0,0,0,0,0,33
Rh2PtB,Rh,Pt,B,l21,0.254806,0.4947715,5.938111629,471.7958,0,10.5934,0.077986,0.06,0.06,0.019,-0.002,0.137,31
Rh2PtBi,Rh,Pt,Bi,l21,0.456832,0.0574895,6.469550458,9.0239,0,10.5976,0.000803,0,0,0,0,0,33
Rh2PtGa,Rh,Pt,Ga,l21,0.228781,-0.244908,6.165853752,1420.0182,54.0015,9.3873,0.248987,0.332,0.332,0.123,-0.016,0.771,31
Rh2PtGe,Rh,Pt,Ge,l21,0.376194,-0.1468115,6.178799463,9.1845,0,10.291,0.000609,0,0,0,0,0,32
Rh2PtIn,Rh,Pt,In,l21,0.234183,-0.14527075,6.344606104,1329.2295,67.5015,9.706,0.35357,0.388,0.388,0.155,-0.024,0.907,31
Rh2PtPb,Rh,Pt,Pb,l21,0.415,0.0593265,6.424838682,26.1069,0,9.8051,0.000095,0.002,0.002,0.002,0,0.006,32
Rh2PtSb,Rh,Pt,Sb,l21,0.434273,-0.14647775,6.351144013,5.6662,0,11.6538,0,0,0,0,0,0,33
Rh2PtSi,Rh,Pt,Si,l21,0.31681,-0.22686275,6.099201867,8.6079,0,11.4564,0.001737,0,0,0,0,0,32
Rh2PtSn,Rh,Pt,Sn,l21,0.348361,-0.219165,6.341780505,8.2764,0,10.1734,0.009997,0.002,0.002,0.001,0,0.005,32
Rh2RhAl,Rh,Rh,Al,l21,0.000079,-0.2962925,6.108621944,293.5559,301.502,10.6361,0.717323,0.641,0.641,0.745,-0.005,2.022,30
Rh2RhAs,Rh,Rh,As,xa,-0.000177,0.044108,6.144455287,2.2467,0,10.7136,0.00011,0,0,0,0,0,32
Rh2RhB,Rh,Rh,B,l21,0,0.5017325,5.863637728,829.9444,0,10.6805,0.494587,0.21,0.21,0.149,-0.002,0.567,30
Rh2RhBi,Rh,Rh,Bi,l21,0.000043,0.16968725,6.420218446,1.7093,0,10.5974,0.001928,0,0,0.001,0,0.001,32
Rh2RhGa,Rh,Rh,Ga,l21,0.000054,-0.1652475,6.12053245,451.705,252.002,9.3357,0.443793,0.614,0.614,0.637,-0.017,1.848,30
Rh2RhGe,Rh,Rh,Ge,xa,0,-0.090883,6.118710943,6.1155,0,10.2816,0.003754,0.001,0,0,0,0.001,31
Rh2RhIn,Rh,Rh,In,xa,-0.000018,-0.02841,6.313859687,485.1626,270.002,9.6049,0.498447,0.718,0.646,0.646,-0.026,1.984,30
Rh2RhPb,Rh,Rh,Pb,l21,0.000023,0.17054275,6.382399547,27.0192,0,9.7217,0.051964,0.028,0.028,0.036,-0.001,0.091,31
Rh2RhSb,Rh,Rh,Sb,l21,0,-0.07346075,6.298893065,1.0005,0,11.6409,0.000338,0,0,0.001,0,0.001,32
Rh2RhSi,Rh,Rh,Si,l21,0.000049,-0.188497,6.038148853,15.8647,0,11.4538,0.000176,0,0,0,0,0,31
Rh2RhSn,Rh,Rh,Sn,xa,-0.000004,-0.11866825,6.297792807,43.4247,0,10.0803,0.010846,0.051,0.042,0.042,-0.001,0.134,31
Rh2RuAl,Rh,Ru,Al,xa,-0.045676,-0.19128275,6.085154484,265.421,0,10.9784,0.432143,0.27,0.103,0.354,0.001,0.728,29
Rh2RuAs,Rh,Ru,As,xa,-0.599953,0.11573825,6.128534071,333.5527,58.5015,11.1104,0.30691,0.176,0.3,0.442,-0.003,0.915,31
Rh2RuB,Rh,Ru,B,xa,-0.522902,0.4984815,5.842478265,17.7406,0,11.1506,0.003187,0.001,0.001,0.001,0,0.003,29
Rh2RuBi,Rh,Ru,Bi,xa,-0.353431,0.33027125,6.415865497,265.3808,126.002,10.8943,0.171364,0.379,0.316,0.714,-0.019,1.39,31
Rh2RuGa,Rh,Ru,Ga,xa,-0.121534,-0.0681905,6.098148278,89.3261,0,9.692,0.497097,0.217,0.105,0.327,-0.001,0.648,29
Rh2RuGe,Rh,Ru,Ge,xa,-0.438355,-0.00849975,6.10995979,501.2392,108.002,10.6296,0.053579,0.316,0.311,0.615,-0.01,1.232,30
Rh2RuIn,Rh,Ru,In,l21,0.103179,0.10463475,6.337304519,706.9149,541.502,9.9145,0.677364,0.728,0.728,1.932,-0.026,3.362,29
Rh2RuPb,Rh,Ru,Pb,xa,-0.181483,0.32940525,6.382136503,868.4704,162.002,9.9884,0.488557,0.431,0.327,0.836,-0.026,1.568,30
Rh2RuSb,Rh,Ru,Sb,xa,-0.442726,0.059597,6.29403807,197.2126,84.0015,11.9387,0.287714,0.301,0.268,0.602,-0.01,1.161,31
Rh2RuSi,Rh,Ru,Si,xa,-0.482406,-0.1274275,6.027618619,294.614,87.0015,11.8214,0.035755,0.288,0.283,0.528,-0.006,1.093,30
Rh2RuSn,Rh,Ru,Sn,xa,-0.203003,0.02054375,6.297897458,574.3186,303.002,10.3516,0.527887,0.444,0.33,0.803,-0.023,1.554,30
Rh2ScAl,Rh,Sc,Al,l21,2.391187,-1.072941,6.221271125,7.1215,0,9.2638,0.000729,0,0,0,0,0,24
Rh2ScAs,Rh,Sc,As,l21,0.926973,-0.6490705,6.289238229,250.4984,84.0015,9.322,0.587958,0.304,0.304,0.005,0.053,0.666,26
Rh2ScB,Rh,Sc,B,l21,1.661802,-0.335108,5.936845907,0.393,0,9.3018,0,0,0,0,0,0,24
Rh2ScBi,Rh,Sc,Bi,l21,1.194077,-0.52065625,6.593205049,1.3809,0,9.2765,0.004235,0.017,0.017,0.001,0.003,0.038,26
Rh2ScGa,Rh,Sc,Ga,l21,1.978927,-0.96739025,6.226809185,0.7766,0,8.1667,0.003984,0,0,0,0,0,24
Rh2ScGe,Rh,Sc,Ge,l21,1.582706,-0.82281575,6.245765304,332.1788,0,9.141,0.351769,0.216,0.216,-0.001,0.025,0.456,25
Rh2ScIn,Rh,Sc,In,l21,1.934994,-0.8388945,6.43968651,1.7201,0,8.4939,0.001932,0,0,0,0,0,24
Rh2ScPb,Rh,Sc,Pb,l21,1.479243,-0.56768925,6.538322249,14.1924,25.5015,8.6719,0.20402,0.198,0.198,-0.001,0.022,0.417,25
Rh2ScSb,Rh,Sc,Sb,l21,1.493507,-0.76145925,6.456812636,9.1332,0,10.2651,0.000123,0,0,0,0,0,26
Rh2ScSi,Rh,Sc,Si,l21,1.929954,-0.91127225,6.156931479,284.2415,0,10.2379,0.216735,0.168,0.168,0,0.017,0.353,25
Rh2ScSn,Rh,Sc,Sn,l21,1.836869,-0.85567575,6.445363163,284.1237,0,8.9809,0.021414,0.168,0.168,0.001,0.02,0.357,25
Rh2TiAl,Rh,Ti,Al,l21,2.2061,-0.971307,6.111194398,1.2433,0,10.3507,0.001822,0,0,0,0,0,25
Rh2TiAs,Rh,Ti,As,l21,0.447076,-0.46291525,6.197633959,14.4515,0,9.9535,0,0,0,0,0,0,27
Rh2TiB,Rh,Ti,B,l21,1.608888,-0.29755875,5.839958136,2.4199,0,10.5355,0.001679,0,0,0,0,0,25
Rh2TiBi,Rh,Ti,Bi,l21,0.650229,-0.250179,6.500882359,11.0042,0,9.9088,0.000109,0,0,0,0,0,27
Rh2TiGa,Rh,Ti,Ga,l21,1.822623,-0.84600475,6.119935652,0.1137,0,9.1188,0.000135,0,0,0,0,0,25
Rh2TiGe,Rh,Ti,Ge,l21,1.119476,-0.655179,6.149482816,223.7912,0,9.9122,0.124784,0.195,0.195,0.063,0.026,0.479,26
Rh2TiIn,Rh,Ti,In,l21,1.744068,-0.6570085,6.330876919,10.2943,0,9.3468,0.000403,0,0,0,0,0,25
Rh2TiPb,Rh,Ti,Pb,l21,1.043098,-0.326598,6.436111378,17.294,0,9.3326,0.006787,0.001,0.001,0.001,0,0.003,26
Rh2TiSb,Rh,Ti,Sb,l21,0.83992,-0.5193805,6.362548231,4.43,0,11.0157,0.000256,0,0,0,0,0,27
Rh2TiSi,Rh,Ti,Si,l21,1.405769,-0.77676025,6.063242659,156.1022,0,11.0627,0.177698,0.146,0.146,0.04,0.017,0.349,26
Rh2TiSn,Rh,Ti,Sn,l21,1.356115,-0.6468875,6.347079563,2.1313,0,9.6815,0.004981,0.001,0.001,0,0,0.002,26
Rh2VAl,Rh,V,Al,l21,1.562271,-0.638143,6.047947939,1005.0579,111.002,10.1479,0.747361,0.2,0.2,1.177,-0.008,1.569,26
Rh2VAs,Rh,V,As,xa,-0.233774,-0.148055,6.097477941,147.9492,0,9.6945,0.303221,-0.007,0.084,0.264,-0.002,0.339,28
Rh2VB,Rh,V,B,l21,1.042697,0.027506,5.770351959,617.7692,0,10.4083,0.581041,0.192,0.192,1.029,0.011,1.424,26
Rh2VBi,Rh,V,Bi,xa,-0.039552,0.14919325,6.403426074,19.108,45.0015,9.7236,0.514176,-0.166,-0.032,0.735,0.001,0.538,28
Rh2VGa,Rh,V,Ga,l21,1.148906,-0.47407375,6.053078706,9.1959,0,9.0159,0.00929,0.001,0.001,0.006,0,0.008,26
Rh2VGe,Rh,V,Ge,l21,0.404553,-0.28602525,6.077216503,17.8072,0,9.8448,0.002585,0.001,0.001,0,0,0.002,27
Rh2VIn,Rh,V,In,l21,1.104225,-0.259578,6.267558335,6.2782,0,9.2485,0.000108,0,0,0,0,0,26
Rh2VPb,Rh,V,Pb,l21,0.395678,0.08191,6.371477576,5.5149,0,9.253,0.002625,0,0,0.002,0,0.002,27
Rh2VSb,Rh,V,Sb,l21,0.05879,-0.12786475,6.292126053,1.909,0,11.0013,0.002287,0,0,0.001,0,0.001,28
Rh2VSi,Rh,V,Si,l21,0.610448,-0.43064225,5.98843359,11.6902,0,11.0477,0.001036,0,0,0.001,0,0.001,27
Rh2VSn,Rh,V,Sn,l21,0.619183,-0.25293725,6.27961592,9.5075,0,9.6158,0.003086,0,0,0.002,0,0.002,27
Rh2WAl,Rh,W,Al,l21,0.66683,-0.25449175,6.176350045,64.3886,0,11.2451,0.001549,0,0,0,0,0,27
Rh2WAs,Rh,W,As,xa,-0.975885,0.05828725,6.187809418,4.9048,0,10.9345,0.000049,0,0,0,0,0,29
Rh2WB,Rh,W,B,xa,-0.421961,0.44698975,5.925489773,21.4816,0,10.6002,0.000155,0,0,0,0,0,27
Rh2WBi,Rh,W,Bi,xa,-0.279281,0.447735,6.47990533,26.804,0,10.8289,0.000226,0,0,0,0,0,29
Rh2WGa,Rh,W,Ga,l21,0.417449,-0.098881,6.187386568,5.8703,0,10.026,0.013509,0.003,0.003,0.004,0,0.01,27
Rh2WGe,Rh,W,Ge,xa,-0.470754,0.01130325,6.173515961,28.2646,0,10.3172,0.0003,0,0.001,0,0,0.001,28
Rh2WIn,Rh,W,In,l21,0.837701,0.05572925,6.362477521,3.7761,0,10.375,0.001218,0,0,0,0,0,27
Rh2WPb,Rh,W,Pb,l21,0.101061,0.4420595,6.456880519,45.9475,0,10.3576,0.059243,0.009,0.009,0.058,0.001,0.077,28
Rh2WSb,Rh,W,Sb,xa,-0.552437,0.13792475,6.362527018,7.1212,0,11.7885,0.000146,0,0,0,0,0,29
Rh2WSi,Rh,W,Si,xa,-0.548382,-0.12452625,6.095181258,1.3046,0,11.3663,0.00013,0,0,0,0,0,28
Rh2WSn,Rh,W,Sn,l21,0.120869,0.10904425,6.374228221,2.8832,0,10.7142,0.000599,0,0,0.001,0,0.001,28
Rh2YAl,Rh,Y,Al,l21,2.165557,-0.869199,6.447992186,65.8312,0,8.3442,0.000147,0,0,0,0,0,24
Rh2YAs,Rh,Y,As,l21,0.817272,-0.5463435,6.492001098,64.3353,0,8.3092,0.451541,0,0,0,0,0,26
Rh2YB,Rh,Y,B,l21,1.047691,-0.04042425,6.181350704,11.1874,0,8.1122,0.002063,0,0,0,0,0,24
