Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Co2VPb,Co,V,Pb,l21,0.687064,0.3016955,6.107310968,155.0547,355.502,8.3371,1,1.028,1.028,0.947,-0.042,2.961,27
Co2VSb,Co,V,Sb,l21,0.356456,0.05114575,5.97523332,241.1015,453.002,10.5714,0.692159,0.638,0.638,-0.726,0.02,0.57,28
Co2VSi,Co,V,Si,l21,0.688117,-0.417257,5.660478879,116.4298,408.002,10.1213,0.142371,0.994,0.994,0.714,0.008,2.71,27
Co2VSn,Co,V,Sn,l21,0.894142,-0.065338,6.007416578,169.6523,384.002,8.6325,0.999725,1.057,1.057,0.894,-0.039,2.969,27
Co2WAl,Co,W,Al,l21,1.043937,-0.17103125,5.874251401,778.3007,0,10.4151,0.507752,0.863,0.863,0.14,0.005,1.871,27
Co2WAs,Co,W,As,xa,-0.586948,0.230967,5.899612493,10.9625,0,10.2069,0,0,0,0,0,0,29
Co2WB,Co,W,B,xa,-0.437627,0.2935155,5.563298365,10.1058,352.502,9.9582,0.668411,0.59,0.042,-0.081,0.026,0.577,27
Co2WBi,Co,W,Bi,l21,0.3743,0.74707525,6.228196529,0.9232,0,10.5433,0.001899,0,0,0.001,0,0.001,29
Co2WGa,Co,W,Ga,l21,0.810866,-0.0264285,5.881937652,934.7093,123.002,9.1224,0.586318,0.835,0.835,0.119,0.009,1.798,27
Co2WGe,Co,W,Ge,l21,0.073417,0.1557785,5.881333782,295.312,78.0015,10.183,0.507997,0.359,0.359,0.05,0.007,0.775,28
Co2WIn,Co,W,In,l21,1.395605,0.23488425,6.09066426,1078.5357,0,9.6249,0.565847,0.856,0.856,0.119,-0.005,1.826,27
Co2WPb,Co,W,Pb,l21,0.778378,0.6396415,6.171978711,210.1162,61.5015,9.7862,0.463316,0.307,0.307,0.022,0,0.636,28
Co2WSb,Co,W,Sb,l21,0.225699,0.39458175,6.080428182,0.7177,0,11.741,0.001697,0,0,0,0,0,29
Co2WSi,Co,W,Si,xa,-0.038019,-0.04311675,5.789660217,5.8229,0,10.6927,0.000621,0,0.001,0,0,0.001,28
Co2WSn,Co,W,Sn,l21,0.813055,0.2555115,6.084475661,552.7555,111.002,10.0744,0.520392,0.381,0.381,0.068,0.002,0.832,28
Co2YAl,Co,Y,Al,l21,1.451966,-0.260128,6.20686736,9.6895,0,6.9046,0.009461,0,0,0,0,0,24
Co2YAs,Co,Y,As,l21,1.142961,-0.204543,6.215221119,75.7326,0,7.5125,0.88947,0,0,0.006,0,0.006,26
Co2YB,Co,Y,B,l21,0.580481,0.3596065,5.854668786,70.0005,0,6.8402,0.000728,0,0,0,0,0,24
Co2YBi,Co,Y,Bi,l21,1.611804,-0.03451025,6.569290698,7.6392,0,7.6263,0.643465,0,0,0.005,0,0.005,26
